line,rep,anthesis_biomass,fresh_wt,bundle_dry_wt,no_ears,sample_fresh_wt,sample_dry_wt,factor,remarks
26,1,608.54,1487,608.54,,342.1,140,0.409237065,No spike count; by Rowan & Bec
43,1,611.65,1568.81,611.65,18,110.29,43,0.389881222,
75,1,564.67,1390.6,564.67,34,151.7,61.6,0.406064601,
92,1,560.5,1546,560.5,,334.3,121.2,0.362548609,No spike count; by Rowan & Bec
118,1,657.26,1567.8,657.26,26,149.8,62.8,0.419225634,
139,1,620.53,2086,620.53,34,198,58.9,0.297474747,
161,1,708.23,2108.8,708.23,36,145.9,49,0.33584647,
185,1,575.73,1492,575.73,34,177,68.3,0.385875706,
207,1,558.4,1579.1,558.4,,330.3,116.8,0.353617923,No spike count; by Rowan & Bec
6,1,689.39,1897.2,689.39,29,170.9,62.1,0.363370392,
190,2,670.67,1902,670.67,49,325,114.6,0.352615385,
26,2,574.32,1501.58,574.32,20,124.19,47.5,0.38247846,
211,2,560.77,1932,560.77,37,277,80.4,0.290252708,
117,2,745.79,2047.3,745.79,28,141.1,51.4,0.364280652,
201,2,424.91,1317,424.91,33,243,78.4,0.322633745,
111,2,660.68,1804.3,660.68,24,140.1,51.3,0.366167024,
19,2,587.44,1555,587.44,33,207,78.2,0.377777778,
135,2,597.02,1710.1,597.02,27,158.4,55.3,0.349116162,
15,2,602.03,1827.2,602.03,28,173,57,0.329479769,
Bennett 2,2,,,,,,,,
Bennett x,1,,,,,,,,
25,1,576.66,1461.5,576.66,24,108.98,43,0.394567811,
42,1,637.29,1757.3,637.29,,324,117.5,0.362654321,No spike count; by Rowan & Bec
72,1,567.13,1461,567.13,32,203,78.8,0.38817734,
91,1,591.29,1651.8,591.29,29,129.9,46.5,0.357967667,
117,1,633.92,1885.8,633.92,28,165.4,55.6,0.336154776,
138,1,601.68,1822,601.68,29,258,85.2,0.330232558,
160,1,668.98,1924.7,668.98,24,138.1,48,0.347574222,
184,1,564.89,1545,564.89,30,192,70.2,0.365625,
