line,rep,oct_av_canopy_score,flowering_das,plant_ht,peduncle_length,plot_yield
26,1,2,168,87,22,551.5117581
43,1,1.7,171,75,11,650.8958567
75,1,3.7,176,70,14,517.9171333
92,1,2,170,85,20,599.1041433
118,1,2.7,178,84,6,705.4871221
139,1,2,174,90,18,835.6662934
161,1,2.3,176,82,13,803.4714446
185,1,1.7,174,94,20,746.0806271
207,1,3.3,168,85,12,681.6909295
6,1,3,176,85,11,664.893617
190,2,2.3,176,76,12,527.7155655
26,2,3.3,171,87,17,604.7032475
211,2,3.7,175,88,12,837.0660694
117,2,1,178,80,10,881.8589026
201,2,2.3,172,88,16,726.4837626
111,2,5.7,178,83,16,636.8980963
19,2,2.3,174,98,19,627.0996641
135,2,1.7,178,80,9,754.4792833
15,2,3,176,90,12,771.2765957
Bennett 2,2,3,180,85,11,699.8880179
Bennett x,2,3,180,85,11,699.8880179
25,1,3.3,171,87,18,548.712206
42,1,3,169,80,10,690.0895857
72,1,2.7,175,85,10,564.1097424
91,1,1.7,177,75,11,512
117,1,1.3,176,77,8,769.8768197
138,1,2.7,175,95,14,711.0862262
160,1,2.3,178,78,9,863.6618141
184,1,3.7,173,90,17,645.2967525
206,1,2.7,172,85,17,638.2978723
98,1,3.3,167,88,24,603.3034714
179,2,4,178,90,13,541.7133259
122,2,2.3,179,87,12,659.2945129
17,2,2.7,177,92,13,659.2945129
99,2,2.3,174,93,19,730.6830907
192,2,2,176,95,19,733.4826428
34,2,4.7,179,94,13,736.2821948
58,2,1.7,180,90,9,593.5050392
141,2,2.5,175,92,17,571.1086226
172,2,1.7,179,87,10,671.8924972
208,2,5,175,85,16,634.0985442
Lancer,1,9.3,179,84,14,669.0929451
24,1,2,175,82,10,450.7278835
41,1,1,179,88,15,653.6954087
71,1,2,174,95,17,520.7166853
90,1,5,179,88,16,712.4860022
114,1,2,176,73,12,667.6931691
137,1,3.7,176,95,25,726.4837626
159,1,1.7,176,85,8,776.8756999
183,1,7,173,80,11,620.1007839
205,1,2,175,88,15,689
ss1006,1,4.3,179,85,16,520.7166853
Bennett 1,2,3,179,80,10,816.0694289
25,2,3.3,175,80,13,585.106383
72,2,2.7,176,95,14,746.0806271
186,2,2,181,77,16,694.2889138
158,2,3.7,180,93,13,796.4725644
184,2,4.7,175,90,16,662.0940649
38,2,3,177,70,12,557.1108623
71,2,2,175,103,14,554.3113102
196,2,1,175,93,16,715.2855543
42,2,5,173,92,14,744.6808511
Sceptre,1,2.7,171,80,13,800.6718925
23,1,1.3,171,77,16,568.3090705
40,1,3.7,174,90,11,569.7088466
70,1,1.3,177,80,8,669.0929451
87,1,4,177,85,13,618.7010078
112,1,3,172,94,19,627.0996641
136,1,3,176,87,13,729.2833147
158,1,3.3,181,85,12,688.6898096
182,1,1,177,83,10,660.6942889
203,1,3,177,85,12,681.6909295
dlta ft,1,3.7,179,85,9,499.7200448
110,2,1.7,175,80,10,635.4983203
222,2,2.3,180,85,8,558.5106383
43,2,1.7,174,76,10,697.0884658
162,2,1.7,176,92,13,452.1276596
dlta ft,2,3.3,179,83,11,694.2889138
200,2,2.7,176,88,13,842.6651736
28,2,2,176,97,15,519.3169093
97,2,4,175,92,17,615.9014558
173,2,3,176,86,20,687.2900336
171,2,1.7,179,104,16,556
Harper,1,3.7,169,80,19,755.8790594
22,1,2,172,97,15,488.5218365
39,1,1.7,184,98,16,494.1209406
68,1,2.3,176,97,16,515.1175812
86,1,3,176,98,12,579.5072788
111,1,4.3,177,85,16,606.1030235
135,1,2,177,77,10,704.087346
157,1,3.7,179,95,17,676.0918253
181,1,1,182,107,18,639.6976484
201,1,2.7,173,80,13,642.4972004
308,1,3.7,174,77,9,562.7099664
90,2,4.7,180,88,14,702.68757
93,2,2.3,170,80,15,655.0951848
52,2,1,175,84,18,706.8868981
75,2,4.3,175,80,15,642.4972004
